unit_id,cycle,timestamp,op_regime,op_setpoint_flow,ambient_temp_c,vibration_rms_mms,bearing_temp_c,casing_temp_c,motor_current_a,discharge_pressure_bar,suction_pressure_bar,flow_rate_m3h,motor_winding_temp_c,power_kw,oil_particle_count,coolant_flow_lpm,ambient_humidity_pct,pump_speed_rpm,gearbox_temp_c
PUMP_001,32,2024-12-02 07:00:00,2,147.42,24.04,2.246,61.16,55.69,49.21,8.049,1.157,138.5,78.63,30.29,,12.006,38.1,2958.5,37.36
PUMP_001,33,2024-12-02 08:00:00,2,147.15,23.89,2.671,61.07,54.31,49.5,8.361,1.117,135.18,80.83,30.74,,12.009,43.0,2955.5,36.76
PUMP_001,34,2024-12-02 09:00:00,2,146.85,24.04,2.66,61.66,55.25,51.2,8.299,1.251,139.16,77.8,31.86,,11.988,43.2,2952.5,36.74
PUMP_001,35,2024-12-02 10:00:00,2,147.5,23.64,2.158,62.59,53.33,50.37,8.304,1.2,135.99,76.37,30.91,,12.011,61.2,2955.8,36.08
PUMP_001,36,2024-12-02 11:00:00,2,150.69,24.01,2.709,63.23,55.88,52.19,8.424,1.121,142.14,79.3,32.29,,12.002,42.6,2954.6,36.29
PUMP_001,37,2024-12-02 12:00:00,2,146.44,24.1,3.05,61.49,55.06,50.73,8.045,1.161,136.23,75.89,31.2,,11.981,72.9,2963.6,36.44
PUMP_001,38,2024-12-02 13:00:00,2,149.74,24.32,2.582,61.87,53.35,49.27,8.042,1.22,138.89,78.62,31.48,,11.997,44.0,2955.7,37.2
PUMP_001,39,2024-12-02 14:00:00,2,144.97,24.17,2.458,59.61,53.59,49.88,8.334,1.178,135.56,81.37,30.89,,12.021,38.9,2954.0,37.54
PUMP_001,40,2024-12-02 15:00:00,2,147.4,24.38,2.51,61.0,54.5,48.54,8.297,1.169,138.25,75.63,30.73,40.5,12.025,72.7,2958.6,37.37
PUMP_001,41,2024-12-02 16:00:00,2,148.29,24.64,2.703,62.35,53.7,50.81,8.32,1.245,138.35,76.76,31.41,,12.011,47.7,2950.4,37.7
PUMP_001,42,2024-12-02 17:00:00,2,149.06,24.7,2.12,62.26,52.78,50.85,8.238,1.147,141.04,77.21,31.62,,11.982,53.3,2955.2,37.14
PUMP_001,43,2024-12-02 18:00:00,2,149.28,24.76,2.597,61.42,52.14,50.64,8.384,1.157,139.6,78.96,30.86,,12.007,76.2,2960.0,36.76
PUMP_001,44,2024-12-02 19:00:00,2,149.43,24.83,2.462,62.3,54.63,51.99,8.419,1.198,142.02,78.42,32.04,,12.013,75.6,2954.7,36.89
PUMP_001,45,2024-12-02 20:00:00,2,147.37,24.61,3.026,61.8,54.66,52.1,8.36,1.205,138.97,81.61,32.37,,12.011,65.7,2950.7,36.03
PUMP_001,46,2024-12-02 21:00:00,2,147.17,24.58,2.524,62.73,53.59,50.87,8.263,1.209,137.21,80.81,32.17,,12.012,38.0,2954.0,36.01
PUMP_001,47,2024-12-02 22:00:00,2,149.54,24.54,2.989,61.56,54.05,49.11,8.023,1.225,139.17,79.99,30.54,,12.005,60.5,2958.6,35.6
PUMP_001,48,2024-12-02 23:00:00,2,147.66,24.63,2.3,60.73,54.33,51.58,8.397,1.197,136.14,79.37,32.52,,11.999,77.5,2955.9,35.64
PUMP_001,49,2024-12-03 00:00:00,2,145.7,24.88,2.728,61.64,54.99,51.53,8.456,1.208,137.41,79.82,32.19,,11.991,75.7,2952.9,35.21
PUMP_001,50,2024-12-03 01:00:00,2,145.96,24.62,2.666,57.41,53.64,51.31,8.38,1.178,136.62,77.57,32.45,60.7,11.972,39.6,2953.3,35.38
PUMP_001,51,2024-12-03 02:00:00,2,146.34,24.59,2.374,61.73,56.04,51.92,8.182,1.191,133.75,80.67,32.15,,12.005,52.0,2953.6,35.39
PUMP_001,52,2024-12-03 03:00:00,2,148.89,24.96,2.64,56.5,49.22,49.99,8.384,1.193,139.08,77.13,31.95,,12.003,48.6,2955.9,35.95
PUMP_001,53,2024-12-03 04:00:00,2,148.26,24.77,2.904,59.02,54.89,52.85,8.408,1.197,137.9,80.64,32.54,,12.008,40.6,2958.3,35.95
PUMP_001,54,2024-12-03 05:00:00,2,149.24,24.57,2.526,61.86,53.41,50.18,8.499,1.219,142.78,81.28,30.8,,11.98,64.9,2957.6,35.65
PUMP_001,55,2024-12-03 06:00:00,2,147.23,24.62,2.19,61.91,55.81,51.72,8.182,1.211,135.65,79.54,31.56,,12.01,46.8,2956.1,35.55
PUMP_001,56,2024-12-03 07:00:00,2,148.29,24.83,2.614,59.79,52.97,49.53,8.266,1.19,137.05,78.85,31.64,,12.031,49.8,2951.7,35.01
PUMP_001,57,2024-12-03 08:00:00,2,149.13,24.83,2.399,60.39,52.64,50.21,8.392,1.156,141.93,79.89,31.46,,12.001,38.9,2951.7,35.17
PUMP_001,58,2024-12-03 09:00:00,2,147.44,25.16,2.545,63.11,52.31,52.42,8.302,1.191,140.74,74.03,32.34,,11.999,56.4,2956.3,35.41
PUMP_001,59,2024-12-03 10:00:00,2,148.82,25.38,2.617,60.72,53.21,50.82,8.149,1.187,138.67,79.73,32.0,,12.005,41.8,2951.6,36.4
PUMP_001,60,2024-12-03 11:00:00,2,146.81,25.59,2.218,64.28,53.44,51.81,8.348,1.196,136.96,79.0,32.38,51.7,12.03,53.6,2954.4,36.15
PUMP_001,61,2024-12-03 12:00:00,1,114.35,25.73,1.847,56.38,52.1,44.27,8.869,1.306,108.44,71.12,28.29,,11.985,41.2,2955.8,36.04
PUMP_001,62,2024-12-03 13:00:00,1,114.31,26.31,2.379,56.93,53.28,43.97,8.805,1.197,103.69,72.49,26.7,,12.003,76.0,2952.2,35.81
PUMP_001,63,2024-12-03 14:00:00,1,112.85,26.26,2.135,58.52,50.84,45.29,8.822,1.235,103.06,71.09,28.02,,11.988,41.2,2952.4,35.89
PUMP_001,64,2024-12-03 15:00:00,1,115.88,25.76,1.632,56.61,51.25,43.85,8.76,1.26,108.43,69.19,27.07,,11.992,57.4,2954.8,36.05
PUMP_001,65,2024-12-03 16:00:00,1,114.16,26.16,2.477,55.16,48.76,42.47,8.985,1.221,109.74,71.0,25.62,,11.999,43.5,2956.3,36.03
PUMP_001,66,2024-12-03 17:00:00,1,115.02,26.04,2.357,56.34,49.68,43.35,8.676,1.311,107.38,71.38,27.37,,12.02,38.3,2957.7,36.46
PUMP_001,67,2024-12-03 18:00:00,1,115.87,26.07,2.119,56.45,51.86,44.57,8.716,1.202,109.03,71.48,27.58,,12.027,43.7,2956.5,36.21
PUMP_001,68,2024-12-03 19:00:00,1,115.8,26.4,1.977,54.75,49.53,44.44,8.794,1.23,110.62,71.58,27.9,,12.007,37.4,2955.2,36.61
PUMP_001,69,2024-12-03 20:00:00,1,116.2,26.0,2.523,56.21,53.15,42.67,8.906,1.185,112.55,73.17,27.47,,11.994,41.0,2953.1,36.82
PUMP_001,70,2024-12-03 21:00:00,1,114.82,25.68,2.411,55.6,49.42,43.43,8.597,1.203,106.96,69.35,26.85,56.8,12.037,56.2,2952.3,36.82
PUMP_001,71,2024-12-03 22:00:00,1,114.24,25.28,2.928,57.79,53.06,43.57,8.621,1.227,107.3,71.64,26.91,,11.994,63.0,2953.7,36.69
PUMP_001,72,2024-12-03 23:00:00,1,114.86,25.09,2.447,56.66,50.97,43.76,8.526,1.25,110.82,73.66,27.24,,11.991,38.8,2956.0,37.66
PUMP_001,73,2024-12-04 00:00:00,1,111.96,25.2,2.449,56.27,51.77,42.86,8.795,1.229,102.75,68.23,27.04,,11.973,54.0,2955.8,37.34
PUMP_001,74,2024-12-04 01:00:00,1,112.4,25.33,2.32,56.53,50.07,43.54,8.645,1.267,107.24,71.69,26.83,,12.021,60.0,2949.8,37.46
PUMP_001,75,2024-12-04 02:00:00,1,112.62,25.4,2.576,56.98,50.96,43.45,8.74,1.212,104.17,70.32,26.75,,12.015,45.1,2953.0,37.16
PUMP_001,76,2024-12-04 03:00:00,1,113.2,25.04,2.539,57.52,51.21,44.8,8.875,1.203,106.51,70.72,28.25,,12.036,51.0,2958.0,37.87
PUMP_001,77,2024-12-04 04:00:00,1,115.72,24.46,2.706,55.44,48.78,44.84,8.705,1.324,108.32,69.78,28.0,,11.979,38.1,2955.2,38.22
PUMP_001,78,2024-12-04 05:00:00,1,113.37,24.48,2.274,55.42,51.01,43.99,8.818,1.232,104.96,71.12,26.51,,12.022,44.5,2951.5,37.95
PUMP_001,79,2024-12-04 06:00:00,1,114.32,24.36,2.306,58.24,52.83,43.77,8.749,1.187,105.81,74.75,26.71,,12.001,55.1,2960.9,38.16
PUMP_001,80,2024-12-04 07:00:00,1,117.34,24.47,2.307,56.29,51.48,44.25,8.875,1.188,110.67,69.18,28.09,46.8,12.012,77.6,2954.9,38.26
PUMP_001,81,2024-12-04 08:00:00,1,114.36,24.65,2.636,55.02,52.07,43.4,8.849,1.178,109.01,69.36,27.13,,11.975,77.8,2956.0,38.05
PUMP_001,82,2024-12-04 09:00:00,1,116.33,24.68,2.825,57.47,53.53,43.1,8.697,1.253,109.06,69.14,26.49,,12.022,77.1,2956.0,38.36
PUMP_001,83,2024-12-04 10:00:00,1,113.32,24.87,2.348,57.52,50.83,43.29,8.764,1.2,106.55,74.61,26.84,,12.012,53.2,2954.1,38.51
PUMP_001,84,2024-12-04 11:00:00,1,114.63,24.93,2.369,54.96,50.29,43.57,8.921,1.22,108.58,70.69,27.08,,11.999,38.5,2953.2,38.6
PUMP_001,85,2024-12-04 12:00:00,1,113.29,25.06,2.567,57.28,50.3,43.1,8.836,1.212,104.85,71.49,27.09,,12.01,48.9,2960.3,38.58
PUMP_001,86,2024-12-04 13:00:00,1,114.39,24.89,2.44,57.98,51.72,44.3,8.603,1.244,108.62,70.83,26.98,,11.989,45.2,2957.5,38.76
PUMP_001,87,2024-12-04 14:00:00,1,116.51,24.84,2.753,57.54,50.5,44.82,8.869,1.18,110.74,69.87,27.5,,11.991,35.6,2957.1,38.85
PUMP_001,88,2024-12-04 15:00:00,1,111.89,24.89,1.966,57.91,54.07,42.74,8.643,1.171,109.24,71.17,26.68,,11.993,39.1,2956.4,38.87
PUMP_001,89,2024-12-04 16:00:00,1,115.78,25.1,2.336,55.3,50.49,44.19,8.967,1.223,108.13,76.04,27.42,,11.972,54.5,2952.5,38.61
PUMP_001,90,2024-12-04 17:00:00,1,115.43,25.0,2.361,57.59,51.11,43.98,8.916,1.238,107.66,74.14,27.56,54.7,12.013,49.6,2958.2,39.29
PUMP_001,91,2024-12-04 18:00:00,1,113.93,25.13,1.991,56.8,52.71,44.49,8.82,1.227,108.22,70.12,27.15,,12.018,42.8,2952.9,38.87
PUMP_001,92,2024-12-04 19:00:00,1,112.4,25.06,2.345,56.61,47.54,44.18,8.802,1.181,106.85,72.84,27.59,,11.989,65.8,2955.7,39.04
PUMP_001,93,2024-12-04 20:00:00,1,115.13,25.03,2.373,58.4,48.94,42.88,8.754,1.24,107.25,70.2,27.1,,12.005,50.4,2950.9,38.91
PUMP_001,94,2024-12-04 21:00:00,1,114.05,25.24,2.567,59.24,53.7,43.06,8.868,1.183,106.44,68.52,26.96,,11.996,71.6,2949.9,39.62
PUMP_001,95,2024-12-04 22:00:00,1,115.42,24.74,2.911,59.69,52.89,44.23,8.731,1.192,109.24,73.57,27.54,,12.005,45.4,2955.8,39.26
PUMP_001,96,2024-12-04 23:00:00,1,115.04,24.42,2.588,59.1,52.79,45.14,8.81,1.175,106.69,73.85,28.0,,11.991,58.2,2953.0,38.96
PUMP_001,97,2024-12-05 00:00:00,1,117.88,24.05,2.408,57.29,49.25,42.22,8.892,1.264,110.02,73.67,25.92,,11.987,42.9,2950.0,38.57
PUMP_001,98,2024-12-05 01:00:00,1,114.57,23.47,2.668,57.94,51.62,44.54,8.705,1.237,107.7,70.96,27.64,,12.016,56.3,2956.4,38.7
PUMP_001,99,2024-12-05 02:00:00,1,113.16,23.3,2.961,58.52,55.04,45.3,8.697,1.236,107.82,71.53,28.64,,11.999,41.6,2960.3,38.16
PUMP_001,100,2024-12-05 03:00:00,1,115.32,23.48,2.473,57.72,52.76,44.1,8.621,1.261,107.29,73.2,27.35,40.9,12.03,41.9,2958.5,37.96
PUMP_001,101,2024-12-05 04:00:00,1,115.4,23.41,2.507,57.78,51.81,44.74,8.637,1.324,105.38,72.58,27.43,,12.001,61.3,2954.4,37.1
PUMP_001,102,2024-12-05 05:00:00,1,117.45,23.46,2.892,58.73,51.51,43.62,8.537,1.143,107.18,71.19,26.91,,11.986,46.3,2955.0,37.2
PUMP_001,103,2024-12-05 06:00:00,1,116.5,23.73,2.715,57.63,50.86,44.15,8.869,1.181,107.34,69.01,27.51,,12.018,42.4,2957.2,37.0
PUMP_001,104,2024-12-05 07:00:00,1,115.64,24.07,2.951,56.8,47.73,42.81,9.009,1.186,106.44,72.16,26.46,,12.009,75.0,2957.8,36.4
PUMP_001,105,2024-12-05 08:00:00,1,117.63,24.05,2.805,57.26,51.6,42.16,8.958,1.176,110.17,73.92,26.41,,12.011,36.8,2954.1,36.84
PUMP_001,106,2024-12-05 09:00:00,1,112.86,24.39,3.003,58.67,53.4,45.13,8.561,1.167,104.02,69.85,28.24,,12.018,59.3,2955.1,36.31
PUMP_001,107,2024-12-05 10:00:00,1,113.85,24.41,2.589,57.9,49.27,43.4,8.865,1.198,105.72,73.18,27.33,,11.99,58.6,2955.8,36.63
PUMP_001,108,2024-12-05 11:00:00,1,113.33,24.2,2.864,58.39,50.96,43.89,8.955,1.161,105.12,72.66,27.84,,11.998,45.8,2956.4,36.35
PUMP_001,109,2024-12-05 12:00:00,1,114.3,24.05,2.835,58.87,50.53,43.06,8.71,1.222,106.55,73.44,27.16,,11.997,54.5,2954.7,36.99
PUMP_001,110,2024-12-05 13:00:00,1,112.52,23.68,2.605,57.57,49.97,43.04,8.782,1.211,107.7,73.69,26.38,55.5,11.981,38.8,2954.7,37.29
PUMP_001,111,2024-12-05 14:00:00,1,116.14,23.46,2.539,59.09,52.49,44.16,8.507,1.228,110.04,70.9,27.08,,11.996,66.0,2958.4,36.89
PUMP_001,112,2024-12-05 15:00:00,1,114.6,23.37,3.123,58.65,49.0,43.67,8.802,1.229,107.55,69.27,27.11,,12.02,44.5,2958.0,36.52
PUMP_001,113,2024-12-05 16:00:00,1,112.35,23.57,2.885,56.61,51.72,44.68,8.628,1.232,104.67,71.25,27.57,,12.004,43.3,2956.2,36.77
PUMP_001,114,2024-12-05 17:00:00,1,113.17,24.0,2.739,60.15,54.23,44.75,8.792,1.193,105.48,73.84,27.34,,11.98,48.5,2959.3,36.66
PUMP_001,115,2024-12-05 18:00:00,1,115.56,23.66,2.994,57.68,51.11,44.64,8.562,1.292,108.94,71.29,27.55,,11.977,73.8,2954.0,36.59
PUMP_001,116,2024-12-05 19:00:00,1,116.51,23.75,3.322,56.24,46.83,44.58,8.834,1.216,110.24,71.05,27.5,,12.025,69.2,2959.1,37.1
PUMP_001,117,2024-12-05 20:00:00,1,118.59,23.49,2.493,57.09,49.61,45.79,8.896,1.132,109.8,69.06,28.16,,11.999,75.7,2956.4,36.8
PUMP_001,118,2024-12-05 21:00:00,1,120.24,23.61,2.713,57.18,53.02,43.42,8.66,1.166,112.86,75.52,26.86,,11.99,63.0,2963.2,36.84
PUMP_001,119,2024-12-05 22:00:00,1,115.75,23.58,2.881,58.63,47.95,44.34,8.613,1.136,105.32,73.89,28.02,,11.996,63.5,2952.0,37.22
PUMP_001,120,2024-12-05 23:00:00,1,113.22,23.12,3.501,58.27,51.36,45.42,8.48,1.206,106.53,73.82,28.28,37.3,11.978,55.6,2953.3,37.54
PUMP_001,121,2024-12-06 00:00:00,1,111.16,23.35,3.231,58.25,50.1,45.55,8.725,1.2,105.47,74.21,29.27,,12.021,73.9,2956.0,37.48
PUMP_001,122,2024-12-06 01:00:00,1,115.48,23.2,3.377,59.56,53.92,43.14,8.683,1.186,107.85,73.54,26.88,,11.994,57.0,2956.0,37.37
PUMP_001,123,2024-12-06 02:00:00,1,113.54,23.07,2.926,59.26,51.51,44.15,8.556,1.285,109.37,72.1,27.31,,12.021,50.3,2959.9,36.67
PUMP_001,124,2024-12-06 03:00:00,1,114.25,22.8,2.957,59.3,53.15,45.66,8.815,1.226,105.72,72.28,28.35,,12.001,62.5,2953.3,36.25
PUMP_001,125,2024-12-06 04:00:00,1,113.9,22.64,3.375,59.49,53.51,44.9,8.697,1.233,107.14,71.84,27.99,,12.021,58.5,2957.3,36.37
PUMP_001,126,2024-12-06 05:00:00,1,114.75,22.74,3.304,59.82,55.64,44.63,8.614,1.166,107.53,77.39,27.9,,12.004,40.3,2957.9,36.32
PUMP_001,127,2024-12-06 06:00:00,1,116.92,22.7,3.454,56.35,50.32,44.27,8.681,1.163,109.46,73.69,28.34,,12.013,51.9,2956.8,36.35
PUMP_001,128,2024-12-06 07:00:00,1,115.28,22.78,3.297,58.69,52.71,44.13,8.891,1.204,107.9,71.89,27.08,,12.011,48.5,2952.6,36.76
PUMP_001,129,2024-12-06 08:00:00,1,114.71,22.87,3.442,56.4,48.43,44.75,8.829,1.209,107.71,73.6,28.14,,12.009,71.4,2958.5,36.29
PUMP_001,130,2024-12-06 09:00:00,1,113.14,23.2,3.44,59.35,54.36,44.27,8.733,1.128,107.4,70.98,27.59,37.1,12.005,51.3,2958.1,36.2
PUMP_001,131,2024-12-06 10:00:00,1,111.99,23.11,3.624,59.37,51.45,44.47,8.829,1.194,107.16,75.55,27.0,,11.997,70.3,2956.5,36.27
PUMP_001,132,2024-12-06 11:00:00,1,114.12,22.75,3.66,60.81,52.68,44.59,8.597,1.202,106.96,71.69,28.01,,12.029,54.0,2955.5,35.99
PUMP_001,133,2024-12-06 12:00:00,1,114.9,23.01,3.083,61.07,53.66,43.92,8.751,1.192,108.99,73.82,27.8,,11.986,67.4,2955.6,36.56
PUMP_001,134,2024-12-06 13:00:00,1,118.18,22.93,2.956,59.86,50.57,45.02,8.765,1.168,109.64,74.88,27.62,,12.0,40.8,2954.8,36.93
PUMP_001,135,2024-12-06 14:00:00,1,115.23,23.21,3.798,59.03,52.71,47.18,8.683,1.178,109.21,73.7,29.28,,12.0,74.8,2956.6,37.04
PUMP_001,136,2024-12-06 15:00:00,1,116.77,23.3,3.876,60.38,54.7,42.97,8.8,1.192,108.2,73.22,26.02,,12.006,55.7,2955.1,37.76
PUMP_001,137,2024-12-06 16:00:00,1,114.1,23.27,3.355,59.15,52.88,44.87,8.64,1.203,108.65,73.11,27.37,,11.994,46.2,2952.9,37.16
PUMP_001,138,2024-12-06 17:00:00,1,112.87,23.36,3.176,59.91,50.56,43.91,8.807,1.223,109.28,73.03,27.7,,12.005,45.4,2952.4,37.16
PUMP_001,139,2024-12-06 18:00:00,1,113.26,23.85,3.698,61.28,53.64,45.12,8.811,1.241,105.91,72.14,27.84,,11.997,46.4,2953.1,37.3
PUMP_001,140,2024-12-06 19:00:00,1,113.69,24.37,3.938,59.35,53.69,44.66,8.359,1.186,102.99,72.41,27.3,43.2,11.976,50.8,2955.6,36.94
PUMP_001,141,2024-12-06 20:00:00,1,118.83,24.38,4.188,61.21,50.97,45.32,8.892,1.179,110.45,75.93,28.23,,12.0,65.9,2954.9,37.06
PUMP_001,142,2024-12-06 21:00:00,1,113.52,24.42,3.901,61.12,52.12,45.7,8.34,1.214,108.3,73.12,28.17,,11.983,75.8,2955.5,36.61
PUMP_001,143,2024-12-06 22:00:00,1,116.51,24.69,3.713,59.09,53.72,44.83,8.654,1.221,110.01,71.95,27.66,,11.974,63.8,2956.3,36.89
PUMP_001,144,2024-12-06 23:00:00,1,113.37,24.48,3.616,61.68,54.5,45.69,8.866,1.179,106.57,72.48,28.67,,12.002,58.5,2953.4,37.31
PUMP_001,145,2024-12-07 00:00:00,1,116.68,24.56,3.877,61.41,54.54,42.57,8.691,1.227,110.88,75.44,26.0,,12.007,54.3,2958.7,37.42
PUMP_001,146,2024-12-07 01:00:00,1,115.69,24.56,3.835,60.73,56.26,46.13,8.54,1.234,109.11,74.72,28.28,,12.008,70.6,2954.3,36.68
PUMP_001,147,2024-12-07 02:00:00,0,84.72,24.64,3.391,55.69,50.9,39.05,8.987,1.276,81.16,67.56,24.38,,12.009,71.5,2953.9,36.3
PUMP_001,148,2024-12-07 03:00:00,0,84.93,24.43,4.193,55.66,51.16,39.69,9.261,1.295,80.87,66.14,25.1,,11.971,47.6,2956.2,36.52
PUMP_001,149,2024-12-07 04:00:00,0,83.82,24.03,4.163,56.17,54.58,37.64,8.876,1.189,80.78,67.69,23.96,,11.98,76.0,2950.4,36.53
PUMP_001,150,2024-12-07 05:00:00,0,85.8,23.51,4.038,57.67,51.16,38.0,9.272,1.224,80.78,65.55,23.42,45.0,12.03,52.0,2953.0,35.45
PUMP_001,151,2024-12-07 06:00:00,0,84.18,23.23,3.561,55.81,49.08,38.9,9.116,1.223,80.12,66.29,24.6,,11.984,69.4,2957.5,35.95
PUMP_001,152,2024-12-07 07:00:00,0,82.79,23.12,4.043,57.72,52.16,38.77,8.967,1.218,76.87,68.56,23.83,,12.009,76.6,2950.7,36.0
PUMP_001,153,2024-12-07 08:00:00,0,82.7,23.04,4.027,55.63,50.82,39.05,9.045,1.195,76.3,68.44,25.05,,11.99,65.3,2957.8,35.68
PUMP_001,154,2024-12-07 09:00:00,0,85.31,23.53,4.017,57.08,50.31,39.79,8.987,1.161,82.44,65.15,24.32,,12.001,41.9,2958.8,36.07
PUMP_001,155,2024-12-07 10:00:00,0,87.84,23.81,4.257,57.59,49.88,37.24,9.23,1.224,82.42,65.43,23.75,,11.991,60.2,2954.1,35.8
PUMP_001,156,2024-12-07 11:00:00,0,85.29,23.56,4.143,60.72,56.94,39.72,9.211,1.189,80.95,67.22,24.46,,12.008,40.1,2955.7,35.53
PUMP_001,157,2024-12-07 12:00:00,0,84.79,23.65,4.21,55.86,50.8,38.86,8.891,1.223,79.38,70.19,25.01,,12.002,68.9,2957.8,35.67
PUMP_001,158,2024-12-07 13:00:00,0,85.51,23.55,4.224,59.66,51.68,38.69,9.06,1.187,78.92,63.69,24.34,,11.993,47.1,2953.8,36.38
